run_name,dataset,detector,threshold,n,n_fail,base_rate,aurc,flagged,k,recall,precision,residual_risk
lora_seed0,busi,drift,0.5,647,120,0.18547140649149924,0.0361543378432205,0.1,65,0.38333333333333336,0.7076923076923077,0.12714776632302405
lora_seed0,busi,drift,0.5,647,120,0.18547140649149924,0.0361543378432205,0.2,130,0.6583333333333333,0.6076923076923076,0.07930367504835589
lora_seed0,busi,drift,0.5,647,120,0.18547140649149924,0.0361543378432205,0.3,195,0.825,0.5076923076923077,0.046460176991150445
lora_seed0,busi,drift,0.5,647,120,0.18547140649149924,0.0361543378432205,0.5,324,0.9916666666666667,0.36728395061728397,0.0030959752321981426
lora_seed0,busi,iou_pred,0.5,647,120,0.18547140649149924,0.12329026997799852,0.1,65,0.24166666666666667,0.4461538461538462,0.1563573883161512
lora_seed0,busi,iou_pred,0.5,647,120,0.18547140649149924,0.12329026997799852,0.2,130,0.4166666666666667,0.38461538461538464,0.13539651837524178
lora_seed0,busi,iou_pred,0.5,647,120,0.18547140649149924,0.12329026997799852,0.3,195,0.5083333333333333,0.3128205128205128,0.13053097345132744
lora_seed0,busi,iou_pred,0.5,647,120,0.18547140649149924,0.12329026997799852,0.5,324,0.775,0.28703703703703703,0.08359133126934984
lora_seed0,cbis_ddsm,drift,0.5,362,270,0.7458563535911602,0.5951636345196013,0.1,37,0.13703703703703704,1.0,0.7169230769230769
lora_seed0,cbis_ddsm,drift,0.5,362,270,0.7458563535911602,0.5951636345196013,0.2,73,0.26666666666666666,0.9863013698630136,0.6851211072664359
lora_seed0,cbis_ddsm,drift,0.5,362,270,0.7458563535911602,0.5951636345196013,0.3,109,0.3851851851851852,0.9541284403669725,0.6561264822134387
lora_seed0,cbis_ddsm,drift,0.5,362,270,0.7458563535911602,0.5951636345196013,0.5,181,0.5962962962962963,0.8895027624309392,0.6022099447513812
lora_seed0,cbis_ddsm,iou_pred,0.5,362,270,0.7458563535911602,0.7873153055277979,0.1,37,0.1,0.7297297297297297,0.7476923076923077
lora_seed0,cbis_ddsm,iou_pred,0.5,362,270,0.7458563535911602,0.7873153055277979,0.2,73,0.1925925925925926,0.7123287671232876,0.754325259515571
