method,training,dataset,perturb_max_px,dice_mean_seeds,dice_std_seeds,n_seeds,seeds
vpt_deep,pm=0,isic2018_test,50,0.8944,0.0013,3,"0,1,2"
vpt_deep,pm=0,isic2018_test,100,0.8281,0.0022,3,"0,1,2"
vpt_deep,pm=0,isic2018_test,200,0.7251,0.0013,3,"0,1,2"
vpt_deep,pm=0,ph2,0,0.9456,0.0002,3,"0,1,2"
vpt_deep,pm=0,ph2,20,0.9315,0.0005,3,"0,1,2"
vpt_deep,pm=0,ph2,50,0.8961,0.0019,3,"0,1,2"
vpt_deep,pm=0,ph2,100,0.8324,0.0036,3,"0,1,2"
vpt_deep,pm=0,ph2,200,0.7425,0.0049,3,"0,1,2"
vpt_deep,pm=20,busi,0,0.7702,0.0376,3,"0,1,2"
vpt_deep,pm=20,busi,20,0.7624,0.0344,3,"0,1,2"
vpt_deep,pm=20,busi,50,0.7224,0.0248,3,"0,1,2"
vpt_deep,pm=20,busi,100,0.636,0.0111,3,"0,1,2"
vpt_deep,pm=20,busi,200,0.4853,0.0052,3,"0,1,2"
vpt_deep,pm=20,cbis_ddsm,0,0.5117,0.0581,3,"0,1,2"
vpt_deep,pm=20,cbis_ddsm,20,0.481,0.0364,3,"0,1,2"
vpt_deep,pm=20,cbis_ddsm,50,0.391,0.0152,3,"0,1,2"
vpt_deep,pm=20,cbis_ddsm,100,0.2603,0.0054,3,"0,1,2"
vpt_deep,pm=20,cbis_ddsm,200,0.1369,0.0015,3,"0,1,2"
vpt_deep,pm=20,isic2018_test,0,0.9432,0.0012,3,"0,1,2"
vpt_deep,pm=20,isic2018_test,20,0.9324,0.0006,3,"0,1,2"
vpt_deep,pm=20,isic2018_test,50,0.9014,0.0021,3,"0,1,2"
vpt_deep,pm=20,isic2018_test,100,0.8407,0.0053,3,"0,1,2"
vpt_deep,pm=20,isic2018_test,200,0.738,0.0089,3,"0,1,2"
vpt_deep,pm=20,ph2,0,0.9428,0.0018,3,"0,1,2"
vpt_deep,pm=20,ph2,20,0.9308,0.0017,3,"0,1,2"
vpt_deep,pm=20,ph2,50,0.9022,0.0036,3,"0,1,2"
vpt_deep,pm=20,ph2,100,0.8431,0.0057,3,"0,1,2"
vpt_deep,pm=20,ph2,200,0.7533,0.0059,3,"0,1,2"
vpt_deep,rand100,busi,0,0.736,0.0243,3,"0,1,2"
vpt_deep,rand100,busi,20,0.7291,0.0223,3,"0,1,2"
vpt_deep,rand100,busi,50,0.7019,0.0193,3,"0,1,2"
vpt_deep,rand100,busi,100,0.6343,0.0077,3,"0,1,2"
vpt_deep,rand100,busi,200,0.4751,0.0013,3,"0,1,2"
vpt_deep,rand100,cbis_ddsm,0,0.3518,0.0543,3,"0,1,2"
vpt_deep,rand100,cbis_ddsm,20,0.3349,0.0502,3,"0,1,2"
vpt_deep,rand100,cbis_ddsm,50,0.2903,0.0435,3,"0,1,2"
vpt_deep,rand100,cbis_ddsm,100,0.2053,0.0243,3,"0,1,2"
vpt_deep,rand100,cbis_ddsm,200,0.1091,0.0138,3,"0,1,2"
vpt_deep,rand100,isic2018_test,0,0.9343,0.0012,3,"0,1,2"
vpt_deep,rand100,isic2018_test,20,0.9279,0.0012,3,"0,1,2"
vpt_deep,rand100,isic2018_test,50,0.9121,0.0017,3,"0,1,2"
vpt_deep,rand100,isic2018_test,100,0.8766,0.0025,3,"0,1,2"
vpt_deep,rand100,isic2018_test,200,0.7946,0.0055,3,"0,1,2"
vpt_deep,rand100,ph2,0,0.9379,0.0029,3,"0,1,2"
vpt_deep,rand100,ph2,20,0.9314,0.0039,3,"0,1,2"
vpt_deep,rand100,ph2,50,0.9161,0.0044,3,"0,1,2"
vpt_deep,rand100,ph2,100,0.8766,0.0045,3,"0,1,2"
vpt_deep,rand100,ph2,200,0.7988,0.0086,3,"0,1,2"
vpt_shallow,pm=0,busi,0,0.7921,0.0166,3,"0,1,2"
vpt_shallow,pm=0,busi,20,0.7758,0.0157,3,"0,1,2"
vpt_shallow,pm=0,busi,50,0.719,0.0117,3,"0,1,2"
vpt_shallow,pm=0,busi,100,0.6315,0.0069,3,"0,1,2"
vpt_shallow,pm=0,busi,200,0.4868,0.002,3,"0,1,2"
vpt_shallow,pm=0,cbis_ddsm,0,0.5662,0.0629,3,"0,1,2"
vpt_shallow,pm=0,cbis_ddsm,20,0.5199,0.0498,3,"0,1,2"
vpt_shallow,pm=0,cbis_ddsm,50,0.3961,0.038,3,"0,1,2"
vpt_shallow,pm=0,cbis_ddsm,100,0.2565,0.0222,3,"0,1,2"
vpt_shallow,pm=0,cbis_ddsm,200,0.1374,0.0084,3,"0,1,2"
vpt_shallow,pm=0,isic2018_test,0,0.9449,0.0007,3,"0,1,2"
vpt_shallow,pm=0,isic2018_test,20,0.9327,0.0017,3,"0,1,2"
vpt_shallow,pm=0,isic2018_test,50,0.8952,0.0034,3,"0,1,2"
vpt_shallow,pm=0,isic2018_test,100,0.8335,0.0056,3,"0,1,2"
vpt_shallow,pm=0,isic2018_test,200,0.7352,0.0104,3,"0,1,2"
vpt_shallow,pm=0,ph2,0,0.9433,0.0005,3,"0,1,2"
vpt_shallow,pm=0,ph2,20,0.9298,0.0017,3,"0,1,2"
vpt_shallow,pm=0,ph2,50,0.8976,0.0053,3,"0,1,2"
vpt_shallow,pm=0,ph2,100,0.836,0.0078,3,"0,1,2"
vpt_shallow,pm=0,ph2,200,0.7542,0.0132,3,"0,1,2"
vpt_shallow,pm=20,busi,0,0.7623,0.032,3,"0,1,2"
vpt_shallow,pm=20,busi,20,0.7509,0.0301,3,"0,1,2"
vpt_shallow,pm=20,busi,50,0.7091,0.0267,3,"0,1,2"
vpt_shallow,pm=20,busi,100,0.6261,0.0215,3,"0,1,2"
vpt_shallow,pm=20,busi,200,0.479,0.0146,3,"0,1,2"
vpt_shallow,pm=20,cbis_ddsm,0,0.4555,0.0415,3,"0,1,2"
vpt_shallow,pm=20,cbis_ddsm,20,0.4369,0.0406,3,"0,1,2"
vpt_shallow,pm=20,cbis_ddsm,50,0.3532,0.023,3,"0,1,2"
vpt_shallow,pm=20,cbis_ddsm,100,0.238,0.0078,3,"0,1,2"
vpt_shallow,pm=20,cbis_ddsm,200,0.1313,0.0038,3,"0,1,2"
vpt_shallow,pm=20,isic2018_test,0,0.9428,0.0003,3,"0,1,2"
vpt_shallow,pm=20,isic2018_test,20,0.9326,0.0005,3,"0,1,2"
vpt_shallow,pm=20,isic2018_test,50,0.9042,0.0003,3,"0,1,2"
vpt_shallow,pm=20,isic2018_test,100,0.8476,0.0012,3,"0,1,2"
vpt_shallow,pm=20,isic2018_test,200,0.7478,0.0034,3,"0,1,2"
vpt_shallow,pm=20,ph2,0,0.9426,0.0005,3,"0,1,2"
vpt_shallow,pm=20,ph2,20,0.931,0.0006,3,"0,1,2"
vpt_shallow,pm=20,ph2,50,0.904,0.0013,3,"0,1,2"
vpt_shallow,pm=20,ph2,100,0.8482,0.004,3,"0,1,2"
vpt_shallow,pm=20,ph2,200,0.7591,0.0065,3,"0,1,2"
vpt_shallow,rand100,busi,0,0.6945,0.0211,3,"0,1,2"
vpt_shallow,rand100,busi,20,0.6865,0.0203,3,"0,1,2"
vpt_shallow,rand100,busi,50,0.6652,0.0191,3,"0,1,2"
vpt_shallow,rand100,busi,100,0.6105,0.0245,3,"0,1,2"
vpt_shallow,rand100,busi,200,0.4725,0.0223,3,"0,1,2"
